"Port","Service","Protocol","Description"
"6147","montage-lm","tcp","Montage License Manager"
"6147","montage-lm","udp","Montage License Manager"
"6148","ricardo-lm","tcp","Ricardo North America License Manager"
"6148","ricardo-lm","udp","Ricardo North America License Manager"
"6149","tal-pod","tcp","tal-pod"
"6149","tal-pod","udp","tal-pod"
"6150","","","Unassigned"
"6151","","","Unassigned"
"6152","","","Unassigned"
"6153","","","Unassigned"
"6154","","","Unassigned"
"6155","","","Unassigned"
"6156","","","Unassigned"
"6157","","","Unassigned"
"6158","","","Unassigned"
"6159","efb-aci","tcp","EFB Application Control Interface"
"6159","","udp","Reserved"
"6160","ecmp","tcp","Emerson Extensible Control and Management Protocol"
"6160","ecmp-data","udp","Emerson Extensible Control and Management Protocol Data"
"6161","patrol-ism","tcp","PATROL Internet Srv Mgr"
"6161","patrol-ism","udp","PATROL Internet Srv Mgr"
"6162","patrol-coll","tcp","PATROL Collector"
"6162","patrol-coll","udp","PATROL Collector"
"6163","pscribe","tcp","Precision Scribe Cnx Port"
"6163","pscribe","udp","Precision Scribe Cnx Port"
"6164","","","Unassigned"
"6165","","","Unassigned"
"6166","","","Unassigned"
"6167","","","Unassigned"
"6168","","","Unassigned"
"6169","","","Unassigned"
"6170","","","Unassigned"
"6171","","","Unassigned"
"6172","","","Unassigned"
"6173","","","Unassigned"
"6174","","","Unassigned"
"6175","","","Unassigned"
"6176","","","Unassigned"
"6177","","","Unassigned"
"6178","","","Unassigned"
"6179","","","Unassigned"
"6180","","","Unassigned"
"6181","","","Unassigned"
"6182","","","Unassigned"
"6183","","","Unassigned"
"6184","","","Unassigned"
"6185","","","Unassigned"
"6186","","","Unassigned"
"6187","","","Unassigned"
"6188","","","Unassigned"
"6189","","","Unassigned"
"6190","","","Unassigned"
"6191","","","Unassigned"
"6192","","","Unassigned"
"6193","","","Unassigned"
"6194","","","Unassigned"
"6195","","","Unassigned"
"6196","","","Unassigned"
"6197","","","Unassigned"
"6198","","","Unassigned"
"6199","","","Unassigned"
"6200","lm-x","tcp","LM-X License Manager by X-Formation"
"6200","lm-x","udp","LM-X License Manager by X-Formation"
"6201","","tcp","Reserved"
"6201","thermo-calc","udp","Management of service nodes in a processing grid for thermodynamic calculations"
"6202","","","Unassigned"
"6203","","","Unassigned"
"6204","","","Unassigned"
"6205","","","Unassigned"
"6206","","","Unassigned"
"6207","","","Unassigned"
"6208","","","Unassigned"
"6209","qmtps","tcp","QMTP over TLS"
"6209","qmtps","udp","QMTP over TLS"
"6210","","","Unassigned"
"6211","","","Unassigned"
"6212","","","Unassigned"
"6213","","","Unassigned"
"6214","","","Unassigned"
"6215","","","Unassigned"
"6216","","","Unassigned"
"6217","","","Unassigned"
"6218","","","Unassigned"
"6219","","","Unassigned"
"6220","","","Unassigned"
"6221","","","Unassigned"
"6222","radmind","tcp","Radmind Access Protocol"
"6222","radmind","udp","Radmind Access Protocol"
"6223","","","Unassigned"
"6224","","","Unassigned"
"6225","","","Unassigned"
"6226","","","Unassigned"
"6227","","","Unassigned"
"6228","","","Unassigned"
"6229","","","Unassigned"
"6230","","","Unassigned"
"6231","","","Unassigned"
"6232","","","Unassigned"
"6233","","","Unassigned"
"6234","","","Unassigned"
"6235","","","Unassigned"
"6236","","","Unassigned"
"6237","","","Unassigned"
"6238","","","Unassigned"
"6239","","","Unassigned"
"6240","","","Unassigned"
"6241","jeol-nsdtp-1","tcp","JEOL Network Services Data Transport Protocol 1"
"6241","jeol-nsddp-1","udp","JEOL Network Services Dynamic Discovery Protocol 1"
"6242","jeol-nsdtp-2","tcp","JEOL Network Services Data Transport Protocol 2"
"6242","jeol-nsddp-2","udp","JEOL Network Services Dynamic Discovery Protocol 2"
"6243","jeol-nsdtp-3","tcp","JEOL Network Services Data Transport Protocol 3"
"6243","jeol-nsddp-3","udp","JEOL Network Services Dynamic Discovery Protocol 3"
"6244","jeol-nsdtp-4","tcp","JEOL Network Services Data Transport Protocol 4"
"6244","jeol-nsddp-4","udp","JEOL Network Services Dynamic Discovery Protocol 4"
"6245","","","Unassigned"
"6246","","","Unassigned"
"6247","","","Unassigned"
"6248","","","Unassigned"
"6249","","","Unassigned"
"6250","","","Unassigned"
"6251","tl1-raw-ssl","tcp","TL1 Raw Over SSL/TLS"
"6251","tl1-raw-ssl","udp","TL1 Raw Over SSL/TLS"
"6252","tl1-ssh","tcp","TL1 over SSH"
"6252","tl1-ssh","udp","TL1 over SSH"
"6253","crip","tcp","CRIP"
"6253","crip","udp","CRIP"
"6254","","","Unassigned"
"6255","","","Unassigned"
"6256","","","Unassigned"
"6257","","","Unassigned"
"6258","","","Unassigned"
"6259","","","Unassigned"
"6260","","","Unassigned"
"6261","","","Unassigned"
"6262","","","Unassigned"
"6263","","","Unassigned"
"6264","","","Unassigned"
"6265","","","Unassigned"
"6266","","","Unassigned"
"6267","gld","tcp","GridLAB-D User Interface"
"6267","","udp","Reserved"
"6268","grid","tcp","Grid Authentication"
"6268","grid","udp","Grid Authentication"
"6269","grid-alt","tcp","Grid Authentication Alt"
"6269","grid-alt","udp","Grid Authentication Alt"
"6270","","","Unassigned"
"6271","","","Unassigned"
"6272","","","Unassigned"
"6273","","","Unassigned"
"6274","","","Unassigned"
"6275","","","Unassigned"
"6276","","","Unassigned"
"6277","","","Unassigned"
"6278","","","Unassigned"
"6279","","","Unassigned"
"6280","","","Unassigned"
"6281","","","Unassigned"
"6282","","","Unassigned"
"6283","","","Unassigned"
"6284","","","Unassigned"
"6285","","","Unassigned"
"6286","","","Unassigned"
"6287","","","Unassigned"
"6288","","","Unassigned"
"6289","","","Unassigned"
"6290","","","Unassigned"
"6291","","","Unassigned"
"6292","","","Unassigned"
"6293","","","Unassigned"
"6294","","","Unassigned"
"6295","","","Unassigned"
"6296","","","Unassigned"
"6297","","","Unassigned"
"6298","","","Unassigned"
"6299","","","Unassigned"
"6300","bmc-grx","tcp","BMC GRX"
"6300","bmc-grx","udp","BMC GRX"
"6301","bmc-ctd-ldap","tcp","BMC CONTROL-D LDAP SERVER
IANA assigned this well-formed service name as a replacement for ""bmc_ctd_ldap""."
"6301","bmc_ctd_ldap","tcp","BMC CONTROL-D LDAP SERVER"
"6301","bmc-ctd-ldap","udp","BMC CONTROL-D LDAP SERVER
IANA assigned this well-formed service name as a replacement for ""bmc_ctd_ldap""."
"6301","bmc_ctd_ldap","udp","BMC CONTROL-D LDAP SERVER"
"6302","","","Unassigned"
"6303","","","Unassigned"
"6304","","","Unassigned"
"6305","","","Unassigned"
"6306","ufmp","tcp","Unified Fabric Management Protocol"
"6306","ufmp","udp","Unified Fabric Management Protocol"
"6307","","","Unassigned"
"6308","","","Unassigned"
"6309","","","Unassigned"
"6310","","","Unassigned"
"6311","","","Unassigned"
"6312","","","Unassigned"
"6313","","","Unassigned"
"6314","","","Unassigned"
"6315","scup","tcp","Sensor Control Unit Protocol"
"6315","scup-disc","udp","Sensor Control Unit Protocol Discovery Protocol"
"6316","abb-escp","tcp","Ethernet Sensor Communications Protocol"
"6316","abb-escp","udp","Ethernet Sensor Communications Protocol"
"6317","nav-data-cmd","tcp","Navtech Radar Sensor Data Command"
"6317","nav-data","udp","Navtech Radar Sensor Data"
"6318","","","Unassigned"
"6319","","","Unassigned"
"6320","repsvc","tcp","Double-Take Replication Service"
"6320","repsvc","udp","Double-Take Replication Service"
"6321","emp-server1","tcp","Empress Software Connectivity Server 1"
"6321","emp-server1","udp","Empress Software Connectivity Server 1"
"6322","emp-server2","tcp","Empress Software Connectivity Server 2"
"6322","emp-server2","udp","Empress Software Connectivity Server 2"
"6323","","","Unassigned"
"6324","hrd-ncs","tcp","HR Device Network Configuration Service"
"6324","hrd-ns-disc","udp","HR Device Network service"
"6325","dt-mgmtsvc","tcp","Double-Take Management Service"
"6325","","udp","Reserved"
"6326","dt-vra","tcp","Double-Take Virtual Recovery Assistant"
"6326","","udp","Reserved"
"6327","","","Unassigned"
"6328","","","Unassigned"
"6329","","","Unassigned"
"6330","","","Unassigned"
"6331","","","Unassigned"
"6332","","","Unassigned"
"6333","","","Unassigned"
"6334","","","Unassigned"
"6335","","","Unassigned"
"6336","","","Unassigned"
"6337","","","Unassigned"
"6338","","","Unassigned"
"6339","","","Unassigned"
"6340","","","Unassigned"
"6341","","","Unassigned"
"6342","","","Unassigned"
"6343","sflow","tcp","sFlow traffic monitoring"
"6343","sflow","udp","sFlow traffic monitoring"
"6344","streletz","tcp","Argus-Spectr security and fire-prevention systems service"
"6344","","udp","Reserved"
"6345","","","Unassigned"
"6346","gnutella-svc","tcp","gnutella-svc"
"6346","gnutella-svc","udp","gnutella-svc"
"6347","gnutella-rtr","tcp","gnutella-rtr"
"6347","gnutella-rtr","udp","gnutella-rtr"
"6348","","","Unassigned"
"6349","","","Unassigned"
"6350","adap","tcp","App Discovery and Access Protocol"
"6350","adap","udp","App Discovery and Access Protocol"
"6351","","","Unassigned"
"6352","","","Unassigned"
"6353","","","Unassigned"
"6354","","","Unassigned"
"6355","pmcs","tcp","PMCS applications"
"6355","pmcs","udp","PMCS applications"
"6356","","","Unassigned"
"6357","","","Unassigned"
"6358","","","Unassigned"
"6359","","","Unassigned"
"6360","metaedit-mu","tcp","MetaEdit+ Multi-User"
"6360","metaedit-mu","udp","MetaEdit+ Multi-User"
"6361","","","Unassigned"
"6362","","","Unassigned"
"6363","ndn","udp","Named Data Networking"
"6363","","tcp","Reserved"
"6364","","","Unassigned"
"6365","","","Unassigned"
"6366","","","Unassigned"
"6367","","","Unassigned"
"6368","","","Unassigned"
"6369","","","Unassigned"
"6370","metaedit-se","tcp","MetaEdit+ Server Administration"
"6370","metaedit-se","udp","MetaEdit+ Server Administration"
"6371","","","Unassigned"
"6372","","","Unassigned"
"6373","","","Unassigned"
"6374","","","Unassigned"
"6375","","","Unassigned"
"6376","","","Unassigned"
"6377","","","Unassigned"
"6378","","","Unassigned"
"6379","redis","tcp","An advanced key-value cache and store"
"6379","","udp","Reserved"
"6380","","","Unassigned"
"6381","","","Unassigned"
"6382","metatude-mds","tcp","Metatude Dialogue Server"
"6382","metatude-mds","udp","Metatude Dialogue Server"
"6383","","","Unassigned"
"6384","","","Unassigned"
"6385","","","Unassigned"
"6386","","","Unassigned"
"6387","","","Unassigned"
"6388","","","Unassigned"
"6389","clariion-evr01","tcp","clariion-evr01"
"6389","clariion-evr01","udp","clariion-evr01"
"6390","metaedit-ws","tcp","MetaEdit+ WebService API"
"6390","metaedit-ws","udp","MetaEdit+ WebService API"
"6391","","","Unassigned"
"6392","","","Unassigned"
"6393","","","Unassigned"
"6394","","","Unassigned"
"6395","","","Unassigned"
"6396","","","Unassigned"
"6397","","","Unassigned"
"6398","","","Unassigned"
"6399","","","Unassigned"
"6400","boe-cms","","Business Objects CMS contact port"
"6401","boe-was","","boe-was"
"6402","boe-eventsrv","","boe-eventsrv"
"6403","boe-cachesvr","","boe-cachesvr"
"6404","boe-filesvr","","Business Objects Enterprise internal server"
"6405","boe-pagesvr","","Business Objects Enterprise internal server"
"6406","boe-processsvr","","Business Objects Enterprise internal server"
"6407","boe-resssvr1","","Business Objects Enterprise internal server"
"6408","boe-resssvr2","","Business Objects Enterprise internal server"
"6409","boe-resssvr3","","Business Objects Enterprise internal server"
"6410","boe-resssvr4","","Business Objects Enterprise internal server"
"6411","","","Unassigned"
"6412","","","Unassigned"
"6413","","","Unassigned"
"6414","","","Unassigned"
"6415","","","Unassigned"
"6416","","","Unassigned"
"6417","faxcomservice","tcp","Faxcom Message Service"
"6417","faxcomservice","udp","Faxcom Message Service"
"6418","syserverremote","tcp","SYserver remote commands"
"6418","","udp","Reserved"
"6419","svdrp","tcp","Simple VDR Protocol"
"6419","svdrp-disc","udp","Simple VDR Protocol Discovery"
"6420","nim-vdrshell","tcp","NIM_VDRShell"
"6420","nim-vdrshell","udp","NIM_VDRShell"
"6421","nim-wan","tcp","NIM_WAN"
"6421","nim-wan","udp","NIM_WAN"
"6422","","","Unassigned"
"6423","","","Unassigned"
"6424","","","Unassigned"
"6425","","","Unassigned"
"6426","","","Unassigned"
"6427","","","Unassigned"
"6428","","","Unassigned"
"6429","","","Unassigned"
"6430","","","Unassigned"
"6431","","","Unassigned"
"6432","pgbouncer","tcp","PgBouncer"
"6432","","udp","Reserved"
"6433","","","Unassigned"
"6434","","","Unassigned"
"6435","","","Unassigned"
"6436","","","Unassigned"
"6437","","","Unassigned"
"6438","","","Unassigned"
"6439","","","Unassigned"
"6440","","","Unassigned"
"6441","","","Unassigned"
"6442","tarp","tcp","Transitory Application Request Protocol"
"6442","","udp","Reserved"
"6443","sun-sr-https","tcp","Service Registry Default HTTPS Domain"
"6443","sun-sr-https","udp","Service Registry Default HTTPS Domain"
"6444","sge-qmaster","tcp","Grid Engine Qmaster Service
IANA assigned this well-formed service name as a replacement for ""sge_qmaster""."
"6444","sge_qmaster","tcp","Grid Engine Qmaster Service"
"6444","sge-qmaster","udp","Grid Engine Qmaster Service
IANA assigned this well-formed service name as a replacement for ""sge_qmaster""."
"6444","sge_qmaster","udp","Grid Engine Qmaster Service"
"6445","sge-execd","tcp","Grid Engine Execution Service
IANA assigned this well-formed service name as a replacement for ""sge_execd""."
"6445","sge_execd","tcp","Grid Engine Execution Service"
"6445","sge-execd","udp","Grid Engine Execution Service
IANA assigned this well-formed service name as a replacement for ""sge_execd""."
"6445","sge_execd","udp","Grid Engine Execution Service"
"6446","mysql-proxy","tcp","MySQL Proxy"
"6446","mysql-proxy","udp","MySQL Proxy"
"6447","","","Unassigned"
"6448","","","Unassigned"
"6449","","","Unassigned"
"6450","","","Unassigned"
"6451","","","Unassigned"
"6452","","","Unassigned"
"6453","","","Unassigned"
"6454","","","Unassigned"
"6455","skip-cert-recv","tcp","SKIP Certificate Receive"
"6455","skip-cert-recv","udp","SKIP Certificate Receive"
"6456","skip-cert-send","tcp","SKIP Certificate Send"
"6456","skip-cert-send","udp","SKIP Certificate Send"
"6457","","","Unassigned"
"6458","","","Unassigned"
"6459","","","Unassigned"
"6460","","","Unassigned"
"6461","","","Unassigned"
"6462","","","Unassigned"
"6463","","","Unassigned"
"6464","ieee11073-20701","tcp","Port assignment for medical device communication in 
    accordance to IEEE 11073-20701"
"6464","ieee11073-20701","udp","Port assignment for medical device communication in 
    accordance to IEEE 11073-20701"
"6465","","","Unassigned"
"6466","","","Unassigned"
"6467","","","Unassigned"
"6468","","","Unassigned"
"6469","","","Unassigned"
"6470","","","Unassigned"
"6471","lvision-lm","tcp","LVision License Manager"
"6471","lvision-lm","udp","LVision License Manager"
"6472","","","Unassigned"
"6473","","","Unassigned"
"6474","","","Unassigned"
"6475","","","Unassigned"
"6476","","","Unassigned"
"6477","","","Unassigned"
"6478","","","Unassigned"
"6479","","","Unassigned"
"6480","sun-sr-http","tcp","Service Registry Default HTTP Domain"
"6480","sun-sr-http","udp","Service Registry Default HTTP Domain"
"6481","servicetags","tcp","Service Tags"
"6481","servicetags","udp","Service Tags"
"6482","ldoms-mgmt","tcp","Logical Domains Management Interface"
"6482","ldoms-mgmt","udp","Logical Domains Management Interface"
"6483","SunVTS-RMI","tcp","SunVTS RMI"
"6483","SunVTS-RMI","udp","SunVTS RMI"
"6484","sun-sr-jms","tcp","Service Registry Default JMS Domain"
"6484","sun-sr-jms","udp","Service Registry Default JMS Domain"
"6485","sun-sr-iiop","tcp","Service Registry Default IIOP Domain"
"6485","sun-sr-iiop","udp","Service Registry Default IIOP Domain"
"6486","sun-sr-iiops","tcp","Service Registry Default IIOPS Domain"
"6486","sun-sr-iiops","udp","Service Registry Default IIOPS Domain"
"6487","sun-sr-iiop-aut","tcp","Service Registry Default IIOPAuth Domain"
"6487","sun-sr-iiop-aut","udp","Service Registry Default IIOPAuth Domain"
"6488","sun-sr-jmx","tcp","Service Registry Default JMX Domain"
"6488","sun-sr-jmx","udp","Service Registry Default JMX Domain"
"6489","sun-sr-admin","tcp","Service Registry Default Admin Domain"
"6489","sun-sr-admin","udp","Service Registry Default Admin Domain"
"6490","","","Unassigned"
"6491","","","Unassigned"
"6492","","","Unassigned"
"6493","","","Unassigned"
"6494","","","Unassigned"
"6495","","","Unassigned"
"6496","","","Unassigned"
"6497","","","Unassigned"
"6498","","","Unassigned"
"6499","","","Unassigned"
"6500","boks","tcp","BoKS Master"
"6500","boks","udp","BoKS Master"
"6501","boks-servc","tcp","BoKS Servc
IANA assigned this well-formed service name as a replacement for ""boks_servc""."
"6501","boks_servc","tcp","BoKS Servc"
"6501","boks-servc","udp","BoKS Servc
IANA assigned this well-formed service name as a replacement for ""boks_servc""."
"6501","boks_servc","udp","BoKS Servc"
"6502","boks-servm","tcp","BoKS Servm
IANA assigned this well-formed service name as a replacement for ""boks_servm""."
"6502","boks_servm","tcp","BoKS Servm"
"6502","boks-servm","udp","BoKS Servm
IANA assigned this well-formed service name as a replacement for ""boks_servm""."
"6502","boks_servm","udp","BoKS Servm"
"6503","boks-clntd","tcp","BoKS Clntd
IANA assigned this well-formed service name as a replacement for ""boks_clntd""."
"6503","boks_clntd","tcp","BoKS Clntd"
"6503","boks-clntd","udp","BoKS Clntd
IANA assigned this well-formed service name as a replacement for ""boks_clntd""."
"6503","boks_clntd","udp","BoKS Clntd"
"6504","","","Unassigned"
"6505","badm-priv","tcp","BoKS Admin Private Port
IANA assigned this well-formed service name as a replacement for ""badm_priv""."
"6505","badm_priv","tcp","BoKS Admin Private Port"
"6505","badm-priv","udp","BoKS Admin Private Port
IANA assigned this well-formed service name as a replacement for ""badm_priv""."
"6505","badm_priv","udp","BoKS Admin Private Port"
"6506","badm-pub","tcp","BoKS Admin Public Port
IANA assigned this well-formed service name as a replacement for ""badm_pub""."
"6506","badm_pub","tcp","BoKS Admin Public Port"
"6506","badm-pub","udp","BoKS Admin Public Port
IANA assigned this well-formed service name as a replacement for ""badm_pub""."
"6506","badm_pub","udp","BoKS Admin Public Port"
"6507","bdir-priv","tcp","BoKS Dir Server, Private Port
IANA assigned this well-formed service name as a replacement for ""bdir_priv""."
"6507","bdir_priv","tcp","BoKS Dir Server, Private Port"
"6507","bdir-priv","udp","BoKS Dir Server, Private Port
IANA assigned this well-formed service name as a replacement for ""bdir_priv""."
"6507","bdir_priv","udp","BoKS Dir Server, Private Port"
"6508","bdir-pub","tcp","BoKS Dir Server, Public Port
IANA assigned this well-formed service name as a replacement for ""bdir_pub""."
"6508","bdir_pub","tcp","BoKS Dir Server, Public Port"
"6508","bdir-pub","udp","BoKS Dir Server, Public Port
IANA assigned this well-formed service name as a replacement for ""bdir_pub""."
"6508","bdir_pub","udp","BoKS Dir Server, Public Port"
"6509","mgcs-mfp-port","tcp","MGCS-MFP Port"
"6509","mgcs-mfp-port","udp","MGCS-MFP Port"
"6510","mcer-port","tcp","MCER Port"
"6510","mcer-port","udp","MCER Port"
"6511","","tcp","Reserved"
"6511","dccp-udp","udp","Datagram Congestion Control Protocol Encapsulation for NAT Traversal"
"6512","","","Unassigned"
"6513","netconf-tls","tcp","NETCONF over TLS"
"6513","","udp","Reserved"
"6514","syslog-tls","tcp","Syslog over TLS"
"6514","syslog-tls","udp","syslog over DTLS"
"6514","syslog-tls","dccp","syslog over DTLS"
"6515","elipse-rec","tcp","Elipse RPC Protocol"
"6515","elipse-rec","udp","Elipse RPC Protocol"
"6516","","","Unassigned"
"6517","","","Unassigned"
"6518","","","Unassigned"
"6519","","","Unassigned"
"6520","","","Unassigned"
"6521","","","Unassigned"
"6522","","","Unassigned"
"6523","","","Unassigned"
"6524","","","Unassigned"
"6525","","","Unassigned"
"6526","","","Unassigned"
"6527","","","Unassigned"
"6528","","","Unassigned"
"6529","","","Unassigned"
"6530","","","Unassigned"
"6531","","","Unassigned"
"6532","","","Unassigned"
"6533","","","Unassigned"
"6534","","","Unassigned"
"6535","","","Unassigned"
"6536","","","Unassigned"
"6537","","","Unassigned"
"6538","","","Unassigned"
"6539","","","Unassigned"
"6540","","","Unassigned"
"6541","","","Unassigned"
"6542","","","Unassigned"
"6543","lds-distrib","tcp","lds_distrib"
"6543","lds-distrib","udp","lds_distrib"
"6544","lds-dump","tcp","LDS Dump Service"
"6544","lds-dump","udp","LDS Dump Service"
"6545","","","Unassigned"
"6546","","","Unassigned"
"6547","apc-6547","tcp","APC 6547"
"6547","apc-6547","udp","APC 6547"
"6548","apc-6548","tcp","APC 6548"
"6548","apc-6548","udp","APC 6548"
"6549","apc-6549","tcp","APC 6549"
"6549","apc-6549","udp","APC 6549"
"6550","fg-sysupdate","tcp","fg-sysupdate"
"6550","fg-sysupdate","udp","fg-sysupdate"
"6551","sum","tcp","Software Update Manager"
"6551","sum","udp","Software Update Manager"
"6552","","","Unassigned"
"6553","","","Unassigned"
"6554","","","Unassigned"
"6555","","","Unassigned"
"6556","","","Unassigned"
"6557","","","Unassigned"
"6558","xdsxdm","tcp",""
"6558","xdsxdm","udp",""
"6559","","","Unassigned"
"6560","","","Unassigned"
"6561","","","Unassigned"
"6562","","","Unassigned"
"6563","","","Unassigned"
"6564","","","Unassigned"
"6565","","","Unassigned"
"6566","sane-port","tcp","SANE Control Port"
"6566","sane-port","udp","SANE Control Port"
"6567","","","Reserved"
"6568","canit-store","tcp","CanIt Storage Manager
IANA assigned this well-formed service name as a replacement for ""canit_store""."
"6568","canit_store","tcp","CanIt Storage Manager"
"6568","rp-reputation","udp","Roaring Penguin IP Address Reputation Collection"
"6569","","","Unassigned"
"6570","","","Unassigned"
"6571","","","Unassigned"
"6572","","","Unassigned"
"6573","","","Unassigned"
"6574","","","Unassigned"
"6575","","","Unassigned"
"6576","","","Unassigned"
"6577","","","Unassigned"
"6578","","","Unassigned"
"6579","affiliate","tcp","Affiliate"
"6579","affiliate","udp","Affiliate"
"6580","parsec-master","tcp","Parsec Masterserver"
"6580","parsec-master","udp","Parsec Masterserver"
"6581","parsec-peer","tcp","Parsec Peer-to-Peer"
"6581","parsec-peer","udp","Parsec Peer-to-Peer"
"6582","parsec-game","tcp","Parsec Gameserver"
"6582","parsec-game","udp","Parsec Gameserver"
"6583","joaJewelSuite","tcp","JOA Jewel Suite"
"6583","joaJewelSuite","udp","JOA Jewel Suite"
"6584","","","Unassigned"
"6585","","","Unassigned"
"6586","","","Unassigned"
"6587","","","Unassigned"
"6588","","","Unassigned"
"6589","","","Unassigned"
"6590","","","Unassigned"
"6591","","","Unassigned"
"6592","","","Unassigned"
"6593","","","Unassigned"
"6594","","","Unassigned"
"6595","","","Unassigned"
"6596","","","Unassigned"
"6597","","","Unassigned"
"6598","","","Unassigned"
"6599","","","Unassigned"
"6600","mshvlm","tcp","Microsoft Hyper-V Live Migration"
"6600","","udp","Reserved"
"6601","mstmg-sstp","tcp","Microsoft Threat Management Gateway SSTP"
"6601","","udp","Reserved"
"6602","wsscomfrmwk","tcp","Windows WSS Communication Framework"
"6602","","udp","Reserved"
"6603","","","Unassigned"
"6604","","","Unassigned"
"6605","","","Unassigned"
"6606","","","Unassigned"
"6607","","","Unassigned"
"6608","","","Unassigned"
"6609","","","Unassigned"
"6610","","","Unassigned"
"6611","","","Unassigned"
"6612","","","Unassigned"
"6613","","","Unassigned"
"6614","","","Unassigned"
"6615","","","Unassigned"
"6616","","","Unassigned"
"6617","","","Unassigned"
"6618","","","Unassigned"
"6619","odette-ftps","tcp","ODETTE-FTP over TLS/SSL"
"6619","odette-ftps","udp","ODETTE-FTP over TLS/SSL"
"6620","kftp-data","tcp","Kerberos V5 FTP Data"
"6620","kftp-data","udp","Kerberos V5 FTP Data"
"6621","kftp","tcp","Kerberos V5 FTP Control"
"6621","kftp","udp","Kerberos V5 FTP Control"
"6622","mcftp","tcp","Multicast FTP"
"6622","mcftp","udp","Multicast FTP"
"6623","ktelnet","tcp","Kerberos V5 Telnet"
"6623","ktelnet","udp","Kerberos V5 Telnet"
"6624","datascaler-db","tcp","DataScaler database"
"6624","","udp","Reserved"
"6625","datascaler-ctl","tcp","DataScaler control"
"6625","","udp","Reserved"
"6626","wago-service","tcp","WAGO Service and Update"
"6626","wago-service","udp","WAGO Service and Update"
"6627","nexgen","tcp","Allied Electronics NeXGen"
"6627","nexgen","udp","Allied Electronics NeXGen"
"6628","afesc-mc","tcp","AFE Stock Channel M/C"
"6628","afesc-mc","udp","AFE Stock Channel M/C"
"6629","nexgen-aux","tcp","Secondary, (non ANDI) multi-protocol multi-function interface to
    the Allied ANDI-based family of forecourt controllers"
"6629","nexgen-aux","udp","Secondary, (non ANDI) multi-protocol multi-function interface to
      the Allied ANDI-based family of forecourt controllers"
"6630","","","Unassigned"
"6631","","","Unassigned"
"6632","mxodbc-connect","tcp","eGenix mxODBC Connect"
"6632","","udp","Reserved"
"6633","","tcp","Reserved"
"6633","cisco-vpath-tun","udp","Cisco vPath Services Overlay"
"6634","mpls-pm","udp","MPLS Performance Measurement out-of-band response"
"6634","","tcp","Reserved"
"6635","","tcp","Reserved"
"6635","mpls-udp","udp","Encapsulate MPLS packets in UDP tunnels."
"6636","","tcp","Reserved"
"6636","mpls-udp-dtls","udp","Encapsulate MPLS packets in UDP tunnels with DTLS."
"6637","","","Unassigned"
"6638","","","Unassigned"
"6639","","","Unassigned"
"6640","ovsdb","tcp","Open vSwitch Database protocol"
"6640","","udp","Reserved"
"6641","","","Unassigned"
"6642","","","Unassigned"
"6643","","","Unassigned"
"6644","","","Unassigned"
"6645","","","Unassigned"
"6646","","","Unassigned"
"6647","","","Unassigned"
"6648","","","Unassigned"
"6649","","","Unassigned"
"6650","","","Unassigned"
"6651","","","Unassigned"
"6652","","","Unassigned"
"6653","openflow","tcp","OpenFlow"
"6653","openflow","udp","OpenFlow"
"6654","","","Unassigned"
"6655","pcs-sf-ui-man","tcp","PC SOFT - Software factory UI/manager"
"6655","","udp","Reserved"
"6656","emgmsg","tcp","Emergency Message Control Service"
"6656","","udp","Reserved"
"6657","","tcp","Reserved"
"6657","palcom-disc","udp","PalCom Discovery"
"6658","","","Unassigned"
"6659","","","Unassigned"
"6660","","","Unassigned"
"6661","","","Unassigned"
"6662","","","Unassigned"
"6663","","","Unassigned"
"6664","","","Unassigned"
"6665","ircu","tcp","IRCU"
"6666","ircu","tcp","IRCU"
"6667","ircu","tcp","IRCU"
"6668","ircu","tcp","IRCU"
"6669","ircu","tcp","IRCU"
"6665","","udp","Reserved"
"6666","","udp","Reserved"
"6667","","udp","Reserved"
"6668","","udp","Reserved"
"6669","","udp","Reserved"
"6670","vocaltec-gold","tcp","Vocaltec Global Online Directory"
"6670","vocaltec-gold","udp","Vocaltec Global Online Directory"
"6671","p4p-portal","tcp","P4P Portal Service"
"6671","p4p-portal","udp","P4P Portal Service"
"6672","vision-server","tcp","vision_server
IANA assigned this well-formed service name as a replacement for ""vision_server""."
"6672","vision_server","tcp","vision_server"
"6672","vision-server","udp","vision_server
IANA assigned this well-formed service name as a replacement for ""vision_server""."
"6672","vision_server","udp","vision_server"
"6673","vision-elmd","tcp","vision_elmd
IANA assigned this well-formed service name as a replacement for ""vision_elmd""."
"6673","vision_elmd","tcp","vision_elmd"
"6673","vision-elmd","udp","vision_elmd
IANA assigned this well-formed service name as a replacement for ""vision_elmd""."
"6673","vision_elmd","udp","vision_elmd"
"6674","","","Unassigned"
"6675","","","Unassigned"
"6676","","","Unassigned"
"6677","","","Unassigned"
"6678","vfbp","tcp","Viscount Freedom Bridge Protocol"
"6678","vfbp-disc","udp","Viscount Freedom Bridge Discovery"
"6679","osaut","tcp","Osorno Automation"
"6679","osaut","udp","Osorno Automation"
"6680","","","Unassigned"
"6681","","","Unassigned"
"6682","","","Unassigned"
"6683","","","Unassigned"
"6684","","","Unassigned"
"6685","","","Unassigned"
"6686","","","Unassigned"
"6687","clever-ctrace","tcp","CleverView for cTrace Message Service"
"6687","","udp","Reserved"
